"WIDHT.OF.THE.PILEUS.1" "WIDHT.OF.THE.PILEUS.2" "WIDHT.OF.THE.STIPE.1" "WIDHT.OF.THE.STIPE.2" "THICKNESS.OF.THE.STIPE.1" "THICKNESS.OF.THE.STIPE.2" "HEIGHT.OF.THE.SPORES.1" "HEIGHT.OF.THE.SPORES.2" "WIDHT.OF.THE.SPORES.1" "WIDHT.OF.THE.SPORES.2" "category"
5 15 3.3 9.1 1.4 3.5 9.5 13 6.5 8.5 "Amanita"
6 12 9 17 1 2 9.5 11.5 8.5 10 "Amanita"
3 11 4 15 0.5 2 8 11.5 6 9 "Amanita"
8 25 10 20 1.5 4 8 11 5 6 "Amanita"
6 39 7 16 2 3 9 13 6.5 9.5 "Amanita"
5 14 6 12 1.5 3.5 7 8.5 5.5 6 "Amanita"
5 13 10 22 1.5 3 9 12.5 7 9 "Amanita"
8 18 10 25 1 3 11.5 14 10 12 "Amanita"
4 15 7 11 1 2.5 9.5 13 7 9.5 "Amanita"
3.5 15 4 18 1 3 7 12 6 10 "Amanita"
4 14 5 15 1 3 10 12 8.5 10 "Amanita"
5 17 6 18 1 3.5 8.5 12 6 8 "Amanita"
5.5 10 6 13 1.2 2 8 11.5 7.5 10 "Amanita"
5 11 4 11 1 2.5 8.5 12 7 11 "Amanita"
6 12 2 7 1.5 3 6 7.5 4 5 "Agaricus"
6 21 4 14 1 3.5 6.5 9 4.5 6 "Agaricus"
6 32 10 37 6 6 7.5 10.5 5 6.5 "Agaricus"
4 8 5 1 1 2 5 6 3 4 "Agaricus"
7 16 4 7 3 4.5 5.5 7 5.5 6.5 "Agaricus"
5 12 2.5 2.5 1.5 2.5 6 8.5 4.5 6 "Agaricus"
5 15 4 10 2 4 5 6.5 4 5.5 "Agaricus"
4 11 3 7 0.4 1 5 7.5 4.5 5 "Agaricus"
5 10 3 6 1 2 5.5 8 3.5 5 "Agaricus"
2.5 4 3 5 0.4 0.7 4 5 3.5 5 "Agaricus"
2.5 6 1.5 3.5 1 1.5 7 8 5 6 "Agaricus"
4 15 4 15 1.5 2.5 5 6.5 3.5 4 "Agaricus"
3.5 8 4 10 1 2 7 8 5 6 "Agaricus"
7 14 8 14 1.5 2.5 4 6 3 4.5 "Agaricus"
4 12 5 15 1 2 8 12 6 8 "Amanita"
8 25 10 20 1.5 4 8 11 5 6 "Amanita"
8 20 9 19 3 5 5 6.5 4 5 "Agaricus"
2.5 4 2.5 4.5 4 7 4.5 5 3 3.5 "Agaricus"
5 15 6 15 2.5 3.5 7 9 6 6.5 "Agaricus"
8 12 6 12 1.5 2 6.5 8 4.5 5 "Agaricus"
7 19 8 15 2 3.5 4 6 3.5 4.5 "Agaricus"
2 6 3 7 0.4 0.8 4.5 5.5 3 3.5 "Agaricus"
6 12 6 12 1.5 2 5.5 6.5 3.5 4 "Agaricus"
7 12 5 12 2 3 7 9 5 5.5 "Agaricus"
6 14 6 16 1 2 4 6 3.5 4.5 "Agaricus"
5 17 4 14 1 3.5 5 6 4 5.5 "Agaricus"
4 10 4 7 1.5 3 11 14 5 6.5 "Boletus"
7 14 5 9 3 6 11.5 13.5 3.5 4.5 "Boletus"
4 7 5 10 1 1.5 11.5 14 4 6 "Boletus"
4 8 4 7 1 3 12 13.5 3.75 4.5 "Boletus"
4 12 4 8 1 2.5 11.5 16 5 6.5 "Boletus"
7 25 7 20 3 8 12 17 4 6 "Boletus"
6 11 6 12 1 2 12 15 5 6 "Boletus"
8 15 5 9 2.5 4.5 5.5 6.5 3.5 4 "Boletus"
7 14 7 13 3 4 11.5 13.5 3.5 4.5 "Boletus"
9 18 5 10 2 6 12.5 18 4 5 "Boletus"
6 16 6 15 3 5 12 16.5 4.5 5.5 "Boletus"
7 15 7 15 3.5 7 13.5 16 4.5 5.5 "Boletus"
4 12 4 8 1 2 10 15 4 5 "Boletus"
5 10 5 10 1.5 2.5 12 15 4.5 6 "Boletus"
4 11 5 10 1 3 11 15 4 6 "Boletus"
